회사명: 삼성증권 | KOSPI200, S&P500 연동, 3년 만기, 매 6개월 조기상환 가능, KOSPI200 60% 하락 시 손실
회사명: KB증권 | 브라질 보베스파 지수, 러시아 MOEX 지수 연동, 4년 만기, 매 12개월 조기상환 가능, 두 지수 모두 80% 이상 유지 시 최대 수익, 60% 이하로 하락 시 원금 손실 (신흥 시장 고위험 고수익형)
회사명: 신한금융투자 | Apple, Microsoft, Alphabet (구글) 연동, 2년 만기, 매 분기 조기상환 가능, 세 종목 모두 70% 이상 유지 시 최대 수익, 50% 이하로 하락 시 원금 손실 (Big Tech 집중형)
회사명: 하나금융투자 | 중국 인터넷 기업 지수, 인도 IT 기업 지수 연동, 3년 만기, 매 6개월 조기상환 가능, 두 지수 모두 85% 이상 유지 시 최대 수익, 65% 이하로 하락 시 원금 손실 (IT 강국 집중형)
회사명: 메리츠증권 | 비트코인, 이더리움, Solana 연동, 1년 만기, 매월 조기상환 가능, 세 암호화폐 모두 200% 이상 상승 시 최대 수익, 60% 이하로 하락 시 원금 손실 (고위험 고수익형)
회사명: 키움증권 | 한국 2차전지 소재 기업 지수, 중국 2차전지 소재 기업 지수 연동, 2년 만기, 매 3개월 조기상환 가능, 두 지수 모두 100% 이상 상승 시 최대 수익, 70% 이하로 하락 시 원금 손실 (2차전지 소재 산업 집중형)
회사명: 대신증권 | S&P 500, Nasdaq 100, Russell 2000 연동 (변동 비중), 3년 만기, 매 분기 조기상환 가능, 세 지수 가중평균이 80% 이상 유지 시 최대 수익, 60% 이하로 하락 시 원금 손실 (미국 주식 시장 다변화 투자형)
회사명: 미래에셋증원 | 글로벌 친환경 에너지 지수, 글로벌 물 관련 지수 연동, 3년 만기, 매 6개월 조기상환 가능, 두 지수 모두 90% 이상 유지 시 최대 수익, 70% 이하로 하락 시 원금 손실 (ESG 테마 투자형)
회사명: 미래에셋증권 | 글로벌 친환경 자동차 지수, 글로벌 신재생에너지 지수 연동, 3년 만기, 매 분기 조기상환 가능, 두 지수 모두 90% 이상 유지 시 최대 수익, 70% 이하로 하락 시 원금 손실 (친환경 테마 투자형)
회사명: 한국투자증권 | 나스닥 바이오테크 지수, 중국 바이오테크 지수 연동, 2년 만기, 매 3개월 조기상환 가능, 두 지수 모두 100% 이상 상승 시 최대 수익, 65% 이하로 하락 시 원금 손실 (바이오테크 산업 집중형)
회사명: NH투자증권 | 금, 은, 비트코인 연동, 3년 만기, 매 6개월 조기상환 가능, 세 자산 모두 50% 이상 상승 시 최대 수익, 25% 이하로 하락 시 원금 손실 (안전자산과 디지털 자산 결합형)
회사명: KB증권 | 유럽 헬스케어 지수, 미국 헬스케어 지수 연동, 4년 만기, 매 12개월 조기상환 가능, 두 지수 모두 85% 이상 유지 시 최대 수익, 65% 이하로 하락 시 원금 손실 (헬스케어 산업 집중형)
회사명: 신한금융투자 | Apple, Microsoft, Amazon, Tesla 연동, 2년 만기, 매 분기 조기상환 가능, 네 종목 모두 65% 이상 유지 시 최대 수익, 45% 이하로 하락 시 원금 손실 (Big Tech 확장형)
회사명: 하나금융투자 | 중국 소비재 지수, 인도 소비재 지수 연동, 3년 만기, 매 6개월 조기상환 가능, 두 지수 모두 80% 이상 유지 시 최대 수익, 60% 이하로 하락 시 원금 손실 (신흥국 소비 시장 집중형)
회사명: 메리츠증권 | Ethereum, Cardano, Polkadot 연동, 1년 만기, 매월 조기상환 가능, 세 암호화폐 모두 250% 이상 상승 시 최대 수익, 70% 이하로 하락 시 원금 손실 (알트코인 집중형)
회사명: 키움증권 | 한국 반도체 소재 기업 지수, 일본 반도체 소재 기업 지수 연동, 2년 만기, 매 3개월 조기상환 가능, 두 지수 모두 110% 이상 상승 시 최대 수익, 75% 이하로 하락 시 원금 손실 (반도체 소재 산업 글로벌 경쟁력 강화)
회사명: 대신증권 | S&P 500, Nasdaq 100, Russell 2000 연동 (변동 비중), 3년 만기, 매 분기 조기상환 가능, 세 지수 가중평균이 85% 이상 유지 시 최대 수익, 65% 이하로 하락 시 원금 손실 (미국 주식 시장 다변화 투자형, 변동 비중 조정)
회사명: 미래에셋증권 | 글로벌 인공지능 지수, 글로벌 로봇 지수 연동, 3년 만기, 매 6개월 조기상환 가능, 두 지수 모두 95% 이상 유지 시 최대 수익, 75% 이하로 하락 시 원금 손실 (4차 산업혁명 테마 투자형)
회사명: 미래에셋증권 | 글로벌 친환경 에너지 지수, 글로벌 물 관련 지수, 글로벌 친환경 소재 지수 연동, 3년 만기, 매 분기 조기상환 가능, 세 지수 모두 85% 이상 유지 시 최대 수익, 65% 이하로 하락 시 원금 손실 (ESG 테마 확장형)
회사명: 한국투자증권 | 나스닥 바이오테크 지수, 중국 바이오테크 지수, 유럽 바이오테크 지수 연동, 2년 만기, 매 3개월 조기상환 가능, 세 지수 모두 100% 이상 상승 시 최대 수익, 65% 이하로 하락 시 원금 손실 (바이오테크 산업 글로벌 경쟁력 강화)
회사명: NH투자증권 | 금, 은, 비트코인, 이더리움 연동, 3년 만기, 매 6개월 조기상환 가능, 네 자산 모두 50% 이상 상승 시 최대 수익, 25% 이하로 하락 시 원금 손실 (안전자산과 디지털 자산 결합 확장형)
회사명: KB증권 | 유럽 헬스케어 지수, 미국 헬스케어 지수, 일본 헬스케어 지수 연동, 4년 만기, 매 12개월 조기상환 가능, 세 지수 모두 80% 이상 유지 시 최대 수익, 60% 이하로 하락 시 원금 손실 (헬스케어 산업 글로벌 경쟁력 강화)
회사명: 신한금융투자 | Apple, Microsoft, Alphabet (구글), Amazon, Tesla 연동, 2년 만기, 매 분기 조기상환 가능, 다섯 종목 모두 60% 이상 유지 시 최대 수익, 40% 이하로 하락 시 원금 손실 (Big Tech 초대형 플랫폼 기업 집중형)
회사명: 하나금융투자 | 중국 소비재 지수, 인도 소비재 지수, 동남아 소비재 지수 연동, 3년 만기, 매 6개월 조기상환 가능, 세 지수 모두 75% 이상 유지 시 최대 수익, 55% 이하로 하락 시 원금 손실 (신흥국 소비 시장 확장형)
회사명: 메리츠증권 | Ethereum, Cardano, Polkadot, Solana 연동, 1년 만기, 매월 조기상환 가능, 네 암호화폐 모두 300% 이상 상승 시 최대 수익, 75% 이하로 하락 시 원금 손실 (알트코인 다변화 투자형)
회사명: 키움증권 | 한국 2차전지 소재 기업 지수, 일본 반도체 소재 기업 지수, 중국 전기차 배터리 3사 지수 연동, 2년 만기, 매 3개월 조기상환 가능, 세 지수 모두 100% 이상 상승 시 최대 수익, 70% 이하로 하락 시 원금 손실 (미래 모빌리티 산업 집중형)
회사명: 대신증권 | S&P 500, Nasdaq 100, Russell 2000 연동 (변동 비중), 3년 만기, 매 분기 조기상환 가능, 세 지수 가중평균이 85% 이상 유지 시 최대 수익, 65% 이하로 하락 시 원금 손실 (미국 주식 시장 다변화 투자형, 변동 비중 조정, 분기별 리밸런싱)
회사명: 미래에셋증권 | 글로벌 인공지능 지수, 글로벌 로봇 지수, 글로벌 메타버스 지수 연동, 3년 만기, 매 6개월 조기상환 가능, 세 지수 모두 90% 이상 유지 시 최대 수익, 70% 이하로 하락 시 원금 손실 (미래 기술 테마 투자형)
회사명: 미래에셋증권 | 글로벌 친환경 에너지 지수, 글로벌 물 관련 지수, 글로벌 친환경 소재 지수, 글로벌 순환경제 지수 연동, 3년 만기, 매 분기 조기상환 가능, 네 지수 모두 80% 이상 유지 시 최대 수익, 60% 이하로 하락 시 원금 손실 (ESG 테마 다변화 투자형)
회사명: 한국투자증권 | 나스닥 바이오테크 지수, 중국 바이오테크 지수, 유럽 바이오테크 지수, 미국 제약 바이오 지수 연동, 2년 만기, 매 3개월 조기상환 가능, 네 지수 모두 95% 이상 상승 시 최대 수익, 60% 이하로 하락 시 원금 손실 (바이오테크 산업 글로벌 경쟁력 강화)
회사명: NH투자증권 | 금, 은, 비트코인, 이더리움, 리플 연동, 3년 만기, 매 6개월 조기상환 가능, 다섯 자산 모두 40% 이상 상승 시 최대 수익, 20% 이하로 하락 시 원금 손실 (안전자산과 디지털 자산 결합 확장형, 보수적 투자형)
회사명: KB증권 | 유럽 헬스케어 지수, 미국 헬스케어 지수, 일본 헬스케어 지수, 중국 헬스케어 지수 연동, 4년 만기, 매 12개월 조기상환 가능, 네 지수 모두 75% 이상 유지 시 최대 수익, 55% 이하로 하락 시 원금 손실 (헬스케어 산업 글로벌 경쟁력 강화)
회사명: 신한금융투자 | Apple, Microsoft, Alphabet (구글), Amazon, Tesla, Meta (페이스북) 연동, 2년 만기, 매 분기 조기상환 가능, 여섯 종목 모두 55% 이상 유지 시 최대 수익, 35% 이하로 하락 시 원금 손실 (Big Tech 초대형 플랫폼 기업 집중형)
회사명: 하나금융투자 | 중국 소비재 지수, 인도 소비재 지수, 동남아 소비재 지수, 브라질 소비재 지수 연동, 3년 만기, 매 6개월 조기상환 가능, 네 지수 모두 70% 이상 유지 시 최대 수익, 50% 이하로 하락 시 원금 손실 (신흥국 소비 시장 확장형)
회사명: 메리츠증권 | Ethereum, Cardano, Polkadot, Solana, Avalanche 연동, 1년 만기, 매월 조기상환 가능, 다섯 암호화폐 모두 350% 이상 상승 시 최대 수익, 80% 이하로 하락 시 원금 손실 (알트코인 다변화 투자형, 고위험 고수익형)
회사명: 키움증권 | 한국 2차전지 소재 기업 지수, 일본 반도체 소재 기업 지수, 중국 전기차 배터리 3사 지수, 유럽 배터리 산업 지수 연동, 2년 만기, 매 3개월 조기상환 가능, 네 지수 모두 100% 이상 상승 시 최대 수익, 70% 이하로 하락 시 원금 손실 (미래 모빌리티 산업 집중형)
회사명: 대신증권 | S&P 500, Nasdaq 100, Russell 2000, Dow Jones Industrial Average 연동 (변동 비중), 3년 만기, 매 분기 조기상환 가능, 네 지수 가중평균이 80% 이상 유지 시 최대 수익, 60% 이하로 하락 시 원금 손실 (미국 주식 시장 다변화 투자형, 변동 비중 조정, 분기별 리밸런싱)
회사명: 미래에셋증권 | 글로벌 인공지능 지수, 글로벌 로봇 지수, 글로벌 메타버스 지수, 글로벌 5G 통신 지수 연동, 3년 만기, 매 6개월 조기상환 가능, 네 지수 모두 85% 이상 유지 시 최대 수익, 65% 이하로 하락 시 원금 손실 (미래 기술 테마 투자형)
회사명: 미래에셋증권 | 글로벌 친환경 에너지 지수, 글로벌 물 관련 지수, 글로벌 친환경 소재 지수, 글로벌 순환경제 지수, 글로벌 바이오 연료 지수 연동, 3년 만기, 매 분기 조기상환 가능, 다섯 지수 모두 75% 이상 유지 시 최대 수익, 55% 이하로 하락 시 원금 손실 (ESG 테마 다변화 투자형)
회사명: 한국투자증권 | 나스닥 바이오테크 지수, 중국 바이오테크 지수, 유럽 바이오테크 지수, 미국 제약 바이오 지수, 일본 제약 바이오 지수 연동, 2년 만기, 매 3개월 조기상환 가능, 다섯 지수 모두 90% 이상 상승 시 최대 수익, 55% 이하로 하락 시 원금 손실 (바이오테크 산업 글로벌 경쟁력 강화)
회사명: NH투자증권 | 금, 은, 비트코인, 이더리움, 리플, 도지코인 연동, 3년 만기, 매 6개월 조기상환 가능, 여섯 자산 모두 30% 이상 상승 시 최대 수익, 15% 이하로 하락 시 원금 손실 (안전자산과 디지털 자산 결합 확장형, 보수적 투자형)
회사명: KB증권 | 유럽 헬스케어 지수, 미국 헬스케어 지수, 일본 헬스케어 지수, 중국 헬스케어 지수, 인도 헬스케어 지수 연동, 4년 만기, 매 12개월 조기상환 가능, 다섯 지수 모두 70% 이상 유지 시 최대 수익, 50% 이하로 하락 시 원금 손실 (헬스케어 산업 글로벌 경쟁력 강화)
회사명: 신한금융투자 | Apple, Microsoft, Alphabet (구글), Amazon, Tesla, Meta (페이스북), Nvidia 연동, 2년 만기, 매 분기 조기상환 가능, 일곱 종목 모두 50% 이상 유지 시 최대 수익, 30% 이하로 하락 시 원금 손실 (Big Tech 초대형 플랫폼 기업 집중형)
회사명: 하나금융투자 | 중국 소비재 지수, 인도 소비재 지수, 동남아 소비재 지수, 브라질 소비재 지수, 러시아 소비재 지수 연동, 3년 만기, 매 6개월 조기상환 가능, 다섯 지수 모두 65% 이상 유지 시 최대 수익, 45% 이하로 하락 시 원금 손실 (신흥국 소비 시장 확장형)
회사명: 메리츠증권 | Ethereum, Cardano, Polkadot, Solana, Avalanche, BNB 연동, 1년 만기, 매월 조기상환 가능, 여섯 암호화폐 모두 400% 이상 상승 시 최대 수익, 85% 이하로 하락 시 원금 손실 (알트코인 다변화 투자형, 고위험 고수익형)
회사명: 키움증권 | 한국 2차전지 소재 기업 지수, 일본 반도체 소재 기업 지수, 중국 전기차 배터리 3사 지수, 유럽 배터리 산업 지수, 미국 배터리 산업 지수 연동, 2년 만기, 매 3개월 조기상환 가능, 다섯 지수 모두 95% 이상 상승 시 최대 수익, 65% 이하로 하락 시 원금 손실 (미래 모빌리티 산업 집중형)
회사명: 대신증권 | S&P 500, Nasdaq 100, Russell 2000, Dow Jones Industrial Average, MSCI 세계 지수 연동 (변동 비중), 3년 만기, 매 분기 조기상환 가능, 다섯 지수 가중평균이 75% 이상 유지 시 최대 수익, 55% 이하로 하락 시 원금 손실 (글로벌 주식 시장 다변화 투자형, 변동 비중 조정, 분기별 리밸런싱)
회사명: 미래에셋증권 | 글로벌 인공지능 지수, 글로벌 로봇 지수, 글로벌 메타버스 지수, 글로벌 5G 통신 지수, 글로벌 블록체인 지수 연동, 3년 만기, 매 6개월 조기상환 가능, 다섯 지수 모두 80% 이상 유지 시 최대 수익, 60% 이하로 하락 시 원금 손실 (미래 기술 테마 투자형)
회사명: 미래에셋증권 | 글로벌 친환경 에너지 지수, 글로벌 물 관련 지수, 글로벌 친환경 소재 지수, 글로벌 순환경제 지수, 글로벌 바이오 연료 지수, 글로벌 스마트시티 지수 연동, 3년 만기, 매 분기 조기상환 가능, 여섯 지수 모두 70% 이상 유지 시 최대 수익, 50% 이하로 하락 시 원금 손실 (ESG 테마 다변화 투자형)
회사명: 한국투자증권 | 나스닥 바이오테크 지수, 중국 바이오테크 지수, 유럽 바이오테크 지수, 미국 제약 바이오 지수, 일본 제약 바이오 지수, 한국 제약 바이오 지수 연동, 2년 만기, 매 3개월 조기상환 가능, 여섯 지수 모두 85% 이상 상승 시 최대 수익, 50% 이하로 하락 시 원금 손실 (바이오테크 산업 글로벌 경쟁력 강화)
회사명: NH투자증권 | 금, 은, 비트코인, 이더리움, 리플, 도지코인, 라이트코인 연동, 3년 만기, 매 6개월 조기상환 가능, 일곱 자산 모두 25% 이상 상승 시 최대 수익, 10% 이하로 하락 시 원금 손실 (안전자산과 디지털 자산 결합 확장형, 보수적 투자형)
회사명: KB증권 | 유럽 헬스케어 지수, 미국 헬스케어 지수, 일본 헬스케어 지수, 중국 헬스케어 지수, 인도 헬스케어 지수, 브라질 헬스케어 지수 연동, 4년 만기, 매 12개월 조기상환 가능, 여섯 지수 모두 65% 이상 유지 시 최대 수익, 45% 이하로 하락 시 원금 손실 (헬스케어 산업 글로벌 경쟁력 강화)
회사명: 신한금융투자 | Apple, Microsoft, Alphabet (구글), Amazon, Tesla, Meta (페이스북), Nvidia, AMD 연동, 2년 만기, 매 분기 조기상환 가능, 여덟 종목 모두 45% 이상 유지 시 최대 수익, 25% 이하로 하락 시 원금 손실 (Big Tech 초대형 플랫폼 기업 집중형)
회사명: 하나금융투자 | 중국 소비재 지수, 인도 소비재 지수, 동남아 소비재 지수, 브라질 소비재 지수, 러시아 소비재 지수, 아프리카 소비재 지수 연동, 3년 만기, 매 6개월 조기상환 가능, 여섯 지수 모두 60% 이상 유지 시 최대 수익, 40% 이하로 하락 시 원금 손실 (신흥국 소비 시장 확장형)
회사명: 메리츠증권 | Ethereum, Cardano, Polkadot, Solana, Avalanche, BNB, Dogecoin 연동, 1년 만기, 매월 조기상환 가능, 일곱 암호화폐 모두 350% 이상 상승 시 최대 수익, 85% 이하로 하락 시 원금 손실 (알트코인 다변화 투자형, 고위험 고수익형)
회사명: 키움증권 | 한국 2차전지 소재 기업 지수, 일본 반도체 소재 기업 지수, 중국 전기차 배터리 3사 지수, 유럽 배터리 산업 지수, 미국 배터리 산업 지수, 한국 배터리 산업 지수 연동, 2년 만기, 매 3개월 조기상환 가능, 여섯 지수 모두 90% 이상 상승 시 최대 수익, 60% 이하로 하락 시 원금 손실 (미래 모빌리티 산업 집중형)
회사명: 대신증권 | S&P 500, Nasdaq 100, Russell 2000, Dow Jones Industrial Average, MSCI 세계 지수, FTSE All-World 지수 연동 (변동 비중), 3년 만기, 매 분기 조기상환 가능, 여섯 지수 가중평균이 70% 이상 유지 시 최대 수익, 50% 이하로 하락 시 원금 손실 (글로벌 주식 시장 다변화 투자형, 변동 비중 조정, 분기별 리밸런싱)
회사명: 미래에셋증권 | 글로벌 인공지능 지수, 글로벌 로봇 지수, 글로벌 메타버스 지수, 글로벌 5G 통신 지수, 글로벌 블록체인 지수, 글로벌 사이버 보안 지수 연동, 3년 만기, 매 6개월 조기상환 가능, 여섯 지수 모두 75% 이상 유지 시 최대 수익, 55% 이하로 하락 시 원금 손실 (미래 기술 테마 투자형)
회사명: 삼성증권 | S&P 500, 나스닥 100, 코스피 200 연동, 3년 만기, 매 분기 조기상환 가능, 세 지수 모두 80% 이상 유지 시 최대 수익, 60% 이하로 하락 시 원금 손실 (글로벌 주식 시장 집중형)
회사명: 신한금융투자 | 테슬라, 엔비디아, 애플 연동, 2년 만기, 매 분기 조기상환 가능, 세 종목 모두 70% 이상 유지 시 최대 수익, 50% 이하로 하락 시 원금 손실 (미국 테크 기업 집중형)
회사명: KB증권 | 금, 은, 원유 연동, 3년 만기, 매 6개월 조기상환 가능, 세 자산 모두 50% 이상 상승 시 최대 수익, 30% 이하로 하락 시 원금 손실 (안전자산과 원자재 결합형)
회사명: 하나금융투자 | 중국 본토 A주 지수, 홍콩 항셍 지수, 대만 가중평균 지수 연동, 2년 만기, 매 분기 조기상환 가능, 세 지수 모두 90% 이상 상승 시 최대 수익, 70% 이하로 하락 시 원금 손실 (아시아 증시 집중형)
회사명: 미래에셋증권 | 글로벌 친환경 에너지 지수, 글로벌 물 관련 지수, 글로벌 바이오 지수 연동, 3년 만기, 매 분기 조기상환 가능, 세 지수 모두 85% 이상 유지 시 최대 수익, 65% 이하로 하락 시 원금 손실 (ESG 투자형)
회사명: 한국투자증권 | 비트코인, 이더리움, 리플 연동, 1년 만기, 매월 조기상환 가능, 세 암호화폐 모두 200% 이상 상승 시 최대 수익, 70% 이하로 하락 시 원금 손실 (암호화폐 시장 집중형)
회사명: NH투자증권 | 유럽 주요 국가 지수 (독일, 프랑스, 영국) 연동, 3년 만기, 매 6개월 조기상환 가능, 세 지수 모두 80% 이상 유지 시 최대 수익, 60% 이하로 하락 시 원금 손실 (유럽 증시 집중형)
회사명: 메리츠증권 | 니켈, 구리, 알루미늄 연동, 2년 만기, 매 분기 조기상환 가능, 세 금속 모두 60% 이상 상승 시 최대 수익, 40% 이하로 하락 시 원금 손실 (원자재 시장 집중형)
회사명: 키움증권 | 인도 IT 지수, 중국 인터넷 지수, 미국 반도체 지수 연동, 2년 만기, 매 분기 조기상환 가능, 세 지수 모두 100% 이상 상승 시 최대 수익, 75% 이하로 하락 시 원금 손실 (성장 산업 집중형)
회사명: 대신증권 | 브라질, 러시아, 남아프리카공화국 지수 연동, 3년 만기, 매 6개월 조기상환 가능, 세 지수 모두 75% 이상 유지 시 최대 수익, 55% 이하로 하락 시 원금 손실 (신흥국 시장 집중형)
회사명: 미래에셋증권 | S&P 500, 나스닥 100, 코스피 200 연동, 3년 만기, 매 분기 조기상환 가능, 세 지수 모두 85% 이상 유지 시 최대 수익, 65% 이하로 하락 시 원금 손실 (글로벌 주식 시장 집중형)
회사명: 한국투자증권 | 테슬라, 엔비디아, 애플, 아마존 연동, 2년 만기, 매 분기 조기상환 가능, 네 종목 모두 75% 이상 유지 시 최대 수익, 55% 이하로 하락 시 원금 손실 (미국 빅테크 기업 집중형)
회사명: NH투자증권 | 금, 은, 원유, 천연가스 연동, 3년 만기, 매 6개월 조기상환 가능, 네 자산 모두 55% 이상 상승 시 최대 수익, 35% 이하로 하락 시 원금 손실 (원자재 시장 다변화 투자)
회사명: KB증권 | 중국 본토 A주 지수, 홍콩 항셍 지수, 대만 가중평균 지수, 한국 코스피 200 연동, 2년 만기, 매 분기 조기상환 가능, 네 지수 모두 95% 이상 상승 시 최대 수익, 75% 이하로 하락 시 원금 손실 (아시아 증시 다변화 투자)
회사명: 신한금융투자 | 글로벌 친환경 에너지 지수, 글로벌 물 관련 지수, 글로벌 바이오 지수, 글로벌 스마트시티 지수 연동, 3년 만기, 매 분기 조기상환 가능, 네 지수 모두 80% 이상 유지 시 최대 수익, 60% 이하로 하락 시 원금 손실 (ESG 투자 다변화)
회사명: 하나금융투자 | 비트코인, 이더리움, 리플, 도지코인 연동, 1년 만기, 매월 조기상환 가능, 네 암호화폐 모두 250% 이상 상승 시 최대 수익, 80% 이하로 하락 시 원금 손실 (암호화폐 시장 다변화 투자)
회사명: 메리츠증권 | 유럽 주요 국가 지수 (독일, 프랑스, 영국, 이탈리아) 연동, 3년 만기, 매 6개월 조기상환 가능, 네 지수 모두 85% 이상 유지 시 최대 수익, 65% 이하로 하락 시 원금 손실 (유럽 증시 다변화 투자)
회사명: 키움증권 | 니켈, 구리, 알루미늄, 철광석 연동, 2년 만기, 매 분기 조기상환 가능, 네 금속 모두 70% 이상 상승 시 최대 수익, 50% 이하로 하락 시 원금 손실 (원자재 시장 다변화 투자)
회사명: 대신증권 | 인도 IT 지수, 중국 인터넷 지수, 미국 반도체 지수, 한국 2차전지 지수 연동, 2년 만기, 매 분기 조기상환 가능, 네 지수 모두 110% 이상 상승 시 최대 수익, 80% 이하로 하락 시 원금 손실 (성장 산업 다변화 투자)
회사명: 삼성증권 | 브라질, 러시아, 남아프리카공화국, 인도네시아 지수 연동, 3년 만기, 매 6개월 조기상환 가능, 네 지수 모두 80% 이상 유지 시 최대 수익, 60% 이하로 하락 시 원금 손실 (신흥국 시장 다변화 투자)
