kor_co_nm: 우리은행 | fin_prdt_nm: 우리SUPER주거래적금 | join_way: 영업점,인터넷,스마트폰,전화(텔레뱅킹) | mtrt_int: 만기 후 - 1개월이내 : 만기시점약정이율×50% - 1개월초과 6개월이내: 만기시점약정이율×30% - 6개월초과 : 만기시점약정이율×20%  ※ 만기시점 약정이율 : 일반정기적금 금리 | spcl_cnd: 1. 아래 각 항(가, 나)의 조건을 충족하는 경우 합산 최대 연 1.9%p 우대 가. 우리은행을 처음 거래하시는 고객 : 연 1.0%p 나. 거래실적 인정기간 동안 아래 거래실적을 계약기간별 필수기간(1년 : 6개월, 2년 : 12개월, 3년 : 18개월)이상 충족하는 경우 최대 연 0.9%p | join_deny: 1 | join_member: 실명의 개인 | max_limit: None
kor_co_nm: 전북은행 | fin_prdt_nm: JB 다이렉트적금(정액적립식) | join_way: 인터넷,스마트폰 | mtrt_int: √만기후 1개월이내 경과분 : 만기일 현재 계약기간별 정기적금(정액적립식) 실행이율의 1/2 √만기후 1개월초과 경과분 : 연 0.1% | spcl_cnd: 추가우대금리 : 당행 계좌간 자동이체를 통해 6회이상 입금한 경우  연 0.1% 금리우대 | join_deny: 1 | join_member: 실명의 개인 및 개인사업자(임의단체 제외) | max_limit: 5000000
kor_co_nm: 전북은행 | fin_prdt_nm: JB 골든에이지 적금 | join_way: 영업점,스마트폰 | mtrt_int: √만기후 1개월이내 경과분 : 만기일 현재 계약기간별 정기적금(정액적립식) 실행이율의 1/2 √만기후 1개월초과 경과분 : 연 0.1% | spcl_cnd: 우대조건 충족시 최고 연1.2% 이내(단, 우대이율은 만기해지시 제공) 1. 6회이상 급여또는 연금이체 실적 연 0.50% 2. JB카드 사용금액 조건을 충족한 경우 (연0.30% ~ 연0.50%) 3. 신규시 당행 입출금 통장으로 자동해지를 신청한 경우 연 0.20%  ※거래실적 인정기준 세부내용은 홈페이지 참조 | join_deny: 1 | join_member: 실명의 개인 및 개인사업자(1인 1계좌) | max_limit: 500000
kor_co_nm: 전북은행 | fin_prdt_nm: 3초 플레이 적금 | join_way: 스마트폰 | mtrt_int: √만기후 1개월이내 경과분 : 만기일 현재 계약기간별 정기적금(정액적립식) 실행이율의 1/2 √만기후 1개월초과 경과분 : 연 0.1% | spcl_cnd: 1. 만기 전전월까지 게임 50회 참여시 0.9% 2. 3초 플레이 적금 게임에 참여하여 획득한 점수 총 합에 따라 추가 우대금리 (연0.5% ~ 연3.0%) 3. 가입기간 내 오픈뱅킹을 통해 계좌 추가 등록/유지시 우대 0.1%  ※거래실적 인정기준 세부내용은 홈페이지 참조 | join_deny: 1 | join_member: 실명의 개인 및 개인사업자(1인 1계좌) | max_limit: 500000
kor_co_nm: 경남은행 | fin_prdt_nm: 행복 DREAM 적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: 만기후 1개월 이내: 일반정기예금 기본이율의 50% 만기후 1개월 초과: 일반정기예금 기본이율의 20% | spcl_cnd: ①신규일로부터 6개월전까지 당행 적금 미보유 0.2% ②월부금이 50만원 이상인 경우 0.20% ③이 예금을 자동이체로 납입하는 경우 0.2% ④신용(체크)카드 최초발급 후 10만원 이내 이용 0.2% ⑤ 전자명함을 통한 신규 시 0.2% | join_deny: 1 | join_member: 실명의 개인 및 개인사업자 | max_limit: None
kor_co_nm: 경남은행 | fin_prdt_nm: BNK더조은자유적금 | join_way: 인터넷,스마트폰 | mtrt_int: 만기후 1개월 이내: 일반정기예금 기본이율의 50% 만기후 1개월 초과: 일반정기예금 기본이율의 20% | spcl_cnd: ①오픈뱅킹서비스 가입 0.20%(만기까지 유지) ②당행 입출금통장에서 자동이체시 입금건별 0.20% ③이 상품 신규시 금리우대쿠폰을 등록할 경우 0.30% | join_deny: 1 | join_member: 거래대상자는 제한을 두지 아니한다. 다만, 국가 및 지방자치단체는 이 예금을 거래할 수 없다. | max_limit: 5000000
kor_co_nm: 경남은행 | fin_prdt_nm: BNK 위더스자유적금 | join_way: 영업점,인터넷,스마트폰,기타 | mtrt_int: 만기후 1개월 이내: 일반정기예금 기본이율의 50% 만기후 1개월 초과: 일반정기예금 기본이율의 20% | spcl_cnd: ①ESG 실천 우대금리 0.50% ②신규고객 우대금리 0.50% - 당행 1년 이내예적금(청약포함)신규해지 이력미보유 ③공동가입우대금리 1.50% | join_deny: 1 | join_member: 실명의 개인 및 개인사업자 | max_limit: 1000000
kor_co_nm: 경남은행 | fin_prdt_nm: 주거래 프리미엄 적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: 만기후 1개월 이내: 일반정기예금 기본이율의 50% 만기후 1개월 초과: 일반정기예금 기본이율의 20% | spcl_cnd: ①주거래우대 0.50% ②공과금 자동이체 0.40~0.60% ③신규고객 0.20% ④주택청약종합저축 보유 0.10% ⑤ 전자명함을 통한 신규 시 0.2% | join_deny: 1 | join_member: 실명의 개인 및 개인사업자 | max_limit: None
kor_co_nm: 경남은행 | fin_prdt_nm: 오늘도세이브적금 | join_way: 인터넷,스마트폰,기타 | mtrt_int: 만기후 1개월 이내: 일반정기예금 기본이율의 50% 만기후 1개월 초과: 일반정기예금 기본이율의 20% | spcl_cnd: ①마케팅동의 0.15% ②목돈마련 축하이율 0.30~1.00% ③친구 추천번호 0.30~0.60% | join_deny: 1 | join_member: 실명의 개인 및 개인사업자 | max_limit: None
kor_co_nm: 경남은행 | fin_prdt_nm: 터치적금 | join_way: 스마트폰 | mtrt_int: 만기후 1개월 이내: 일반정기예금 기본이율의 50% 만기후 1개월 초과: 일반정기예금 기본이율의 20% | spcl_cnd: ①첫거래고객(적금가입 전일기준 당행 활동계좌 미보유) 2.50% ②기간내 적금 입금일마다 0.10%씩 우대(최대2.50%) ③마케팅동의 및 모바일메세지 수신동의 만기유지 시 0.50% | join_deny: 1 | join_member: 실명의 개인 및 개인사업자 | max_limit: None
kor_co_nm: 중소기업은행 | fin_prdt_nm: IBK D-day적금(자유적립식) | join_way: 스마트폰 | mtrt_int: 만기일 당시 정기적금 만기후금리 적용 - 1개월 이내: 만기일 당시 약정금리x50% - 1월 초과 6개월 이내: 만기일 당시 약정금리x30% - 6개월 초과: 만기일 당시 약정금리x20% | spcl_cnd: 최고 연 1.5%p 1. 목표달성 축하금리 : 연 1.0%p   - 당행 입출금식 계좌에서 이 적금으로 자동이체를 통해 3회 이상 납입하고 만기일 전일까지 목표금액(신규 시 직접 설정) 이상 납입하는 경우 2. 최초거래고객 우대금리 : 연 0.5%p | join_deny: 1 | join_member: 실명의 개인 (개인사업자 제외) | max_limit: 600000
kor_co_nm: 중소기업은행 | fin_prdt_nm: IBK탄소제로적금(자유적립식) | join_way: 스마트폰 | mtrt_int: 만기일 당시 정기적금 만기후금리 적용 - 1개월 이내: 만기일 당시 약정금리x50% - 1월 초과 6개월 이내: 만기일 당시 약정금리x30% - 6개월 초과: 만기일 당시 약정금리x20% | spcl_cnd: 최고 연 4.00%p 1. 에너지 절감 우대금리 : 최대 연 2.00%p 2. 최초거래고객 우대금리 : 연 1.00%p 3. 지로 또는 공과금 자동이체 우대금리 : 연 1.00%p | join_deny: 1 | join_member: 실명의 개인 (개인사업자 제외) | max_limit: 1000000
kor_co_nm: 중소기업은행 | fin_prdt_nm: IBK중기근로자우대적금 (자유적립식) | join_way: 영업점,스마트폰 | mtrt_int: 만기일 당시 정기적금 만기후금리 적용 - 1개월 이내: 만기일 당시 약정금리x50% - 1월 초과 6개월 이내: 만기일 당시 약정금리x30% - 6개월 초과: 만기일 당시 약정금리x20% | spcl_cnd: 최고 연 2.20%p 1. 가입시점 중소기업 근로자로 확인된 경우 : 재직기간에 따라 최고 연 1.2%p 2. 당행 급여이체 실적(월50만원 이상) 6개월 이상    인 경우 : 연 1.0%p | join_deny: 3 | join_member: 중소기업에서 근무하는 실명의 개인 (개인사업자 제외) | max_limit: 1000000
kor_co_nm: 한국산업은행 | fin_prdt_nm: KDB 기업정기적금 | join_way: 영업점,인터넷 | mtrt_int: * 만기후 1년 이내 : 만기일 현재 고시된 일반 정기적금 해당예금기간 기본이율의 1/2 * 만기후 1년 초과 : 만기일 현재 고시된 보통예금 이율 | spcl_cnd: 해당없음 | join_deny: 1 | join_member: 개인사업자, 조합(비영리법인 포함), 법인 | max_limit: None
kor_co_nm: 한국산업은행 | fin_prdt_nm: KDB 자유적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: * 만기후 1년 이내 : 만기일 현재 고시된 일반 정기적금 해당예금기간 기본이율의 1/2 * 만기후 1년 초과 : 만기일 현재 고시된 보통예금 이율 | spcl_cnd: 해당없음 | join_deny: 1 | join_member: 개인, 개인사업자, 임의단체 | max_limit: 5000000
kor_co_nm: 국민은행 | fin_prdt_nm: KB국민프리미엄적금(정액) | join_way: 영업점,인터넷,스마트폰,전화(텔레뱅킹) | mtrt_int: - 1개월 이내 : 기본이율 X 50% - 1개월 초과  ~ 3개월 이내 : 기본이율 X 30% - 3개월 초과 : 0.1% | spcl_cnd: ① 단체가입/나라사랑/쿠폰 우대이율:      1년: 연 0.6%p, 2년: 연 0.7%p,     3년: 연 0.9%p, 5년: 연 1.0%p     (중복적용되지 않음, 계약기간별차등적용) ② 교차거래 우대이율: 연 0.3%p | join_deny: 1 | join_member: 실명의 개인 | max_limit: None
kor_co_nm: 국민은행 | fin_prdt_nm: KB맑은하늘적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: - 1개월 이내 : 기본이율 X 50% - 1개월 초과  ~ 3개월 이내 : 기본이율 X 30% - 3개월 초과 : 0.1% | spcl_cnd: 맑은하늘을 위한 미션별 제공조건을 달성하는 경우 각 미션별 우대이율 제공 -1년제 최고 연0.8%p, 2년제 최고 연 0.9%p, 3년제 최고 연 1.0%p ① 종이통장 줄이기 미션: 연 0.1%p ② 종이서식 줄이기 미션: 연 0.2%p ③ 대중교통 미션: 1년제 연 0.4%p, 2년제 연 0.5%p, 3년제 연 0.6%p ④ 퀴즈미션: 연 0.1%p | join_deny: 1 | join_member: 실명의 개인 | max_limit: None
kor_co_nm: 국민은행 | fin_prdt_nm: KB반려행복적금 | join_way: 스마트폰 | mtrt_int: - 1개월 이내 : 기본이율 X 50% - 1개월 초과  ~ 3개월 이내 : 기본이율 X 30% - 3개월 초과 : 0.1% | spcl_cnd: 항목별 적용 조건 충족시, 최고 연 1.5%p ① 반려동물 등록: 연 0.2%p ② 미지(유기)입양: 연 0.2%p ③ 반려동물애정활동: 연 0.2%p ④ 반려동물요금제: 연 0.2%p ⑤ KB거래감사: 연 0.2%p ⑥ KB첫거래: 연 0.5%p | join_deny: 1 | join_member: 실명의 개인 | max_limit: None
kor_co_nm: 국민은행 | fin_prdt_nm: KB 특★한 적금 | join_way: 스마트폰 | mtrt_int: - 1개월 이내 : 기본이율 X 50% - 1개월 초과  ~ 3개월 이내 : 기본이율 X 30% - 3개월 초과 : 0.1% | spcl_cnd: 항목별 적용 조건 충족시, 최고 연 4.0%p ① 목표달성 축하 우대이율: 최고 연 1.0%p     50만원 이하: 연 0.5%p, 50만원 초과: 연 1.0%p  ② 별 모으기 우대이율 : 최고 연 1.0%p     10개: 연 0.5%p, 20개: 연 1.0%p ③ 함께해요 우대이율: 최고 연 2.0%p | join_deny: 1 | join_member: 실명의 개인 | max_limit: None
kor_co_nm: 국민은행 | fin_prdt_nm: KB차차차 적금 | join_way: 스마트폰 | mtrt_int: - 1개월 이내 : 기본이율 X 50% - 1개월 초과  ~ 3개월 이내 : 기본이율 X 30% - 3개월 초과 : 0.1% | spcl_cnd: 항목별 적용 조건 충족시, 최고 연 5.5%p ① 혜택수신 우대이율: 연 1.0%p ② KB패밀리 우대이율: 연 1.0%p ③ KB국민인증 우대이율: 연0.5%p  ④ 내차든든 우대이율: 연 3.0%P | join_deny: 1 | join_member: 만19세이상 실명의 개인 | max_limit: None
kor_co_nm: 신한은행 | fin_prdt_nm: 한 달부터 적금 (매주입금) | join_way: 영업점,스마트폰 | mtrt_int: -1개월 이하:(일반) 정기적금 기본금리 1/2 (단, 최저금리 0.10%) -1개월 초과~6개월 이하: (일반) 정기적금 기본금리의 1/4 (단, 최저금리 0.10%) -6개월 초과 0.10% | spcl_cnd: ※가산금리 최고 연 2.0% - 주 납입: 총 납입 회차의 90%이상 납입 달성 | join_deny: 1 | join_member: 제한없음 | max_limit: 100000
kor_co_nm: 신한은행 | fin_prdt_nm: 신한 알.쏠 적금 | join_way: 영업점,스마트폰 | mtrt_int: -1개월 이하:(일반) 정기적금 기본금리 1/2 (단, 최저금리 0.10%) -1개월 초과~6개월 이하: (일반) 정기적금 기본금리의 1/4 (단, 최저금리 0.10%) -6개월 초과 0.10% | spcl_cnd: ※가산금리 최고 연 1.30% - 소득이체 : 연 0.6% - 카드이용 : 연 0.3% - 오픈뱅킹 : 연 0.6% - 청약보유 : 연 0.3% - 마케팅동의 : 연 0.1% ※ 우대금리 항목별 자세한 적용 조건은 상품설명서 참조 | join_deny: 1 | join_member: 제한없음 | max_limit: 3000000
kor_co_nm: 농협은행주식회사 | fin_prdt_nm: NH올원e 미니적금 | join_way: 스마트폰 | mtrt_int: 만기후 1년 이내 : 만기시점 계약기간별 자유로우대적금 기본금리의 1/2 만기후 1년 초과 : 보통예금 금리 | spcl_cnd: 1. 자동이체 입금횟수 우대금리 : 최고 0.5%p  - 5회이상 : 0.2%p, 10회이상 : 0.3%p, 15회이상 0.5%p 2. 목표금액 달성 축하금리  : 0.5%p 3. MZ세대(만 19~34세)) 우대금리 : 0.5%p 4. 직전 1년간 당행 예적금(청약포함) 미보유 고객 : 0.2%p | join_deny: 1 | join_member: 개인 | max_limit: 1550000
kor_co_nm: 농협은행주식회사 | fin_prdt_nm: NH1934월복리적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: 만기후 1년 이내 : 만기시점 계약기간별 기본금리의 1/2 만기후 1년 초과 : 보통예금 금리 | spcl_cnd: 1. 급여실적 : 1.0%p (①/② 중복 적용 불가)  ① 급여이체 실적 : 1.0%p  ② 개인사업자 계좌 실적 :1.0%p 2. 비대면 채널 이체 실적 : 0.3%p 3. 마케팅 동의 : 0.2%p 4. 농업계고 및 청년농부사관학교 졸업자 : 2.0%p | join_deny: 3 | join_member: 만19세~만34세 개인 및 개인사업자 | max_limit: 500000
kor_co_nm: 농협은행주식회사 | fin_prdt_nm: NH내가Green초록세상적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: 만기후 1년 이내 : 만기시점 계약기간별 기본금리의 1/2 만기후 1년 초과 : 보통예금 금리 | spcl_cnd: ※ 우대금리 최대한도 : 1.0%p(연%, 세전) 1. 온실가스 줄이기 실천서약서 동의 : 0.1%p 2. 통장미발급 : 0.3%p 3. 손하나로인증 서비스 등록 : 0.2%p 4. 대중교통이용 : 0.2%p 5. NH내가Green초록세상예금 동시 보유 : 0.2%p | join_deny: 1 | join_member: 개인 | max_limit: 500000
kor_co_nm: 농협은행주식회사 | fin_prdt_nm: NH고향사랑기부적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: 만기후 1년 이내 : 만기시점 계약기간별 기본금리의 1/2 만기후 1년 초과 : 보통예금 금리 | spcl_cnd: 1. 고향사랑기부금 납부고객 우대 : 0.5%p  2-1. 만 65세 이상 고령자 우대 : 0.1%p 2-2. 만 19~34세 MZ고객 우대 : 0.3%p  3. NH채움카드 또는 [zgm.고향으로 카드] 이용실적 우대 : 0.1%p  4. 고향사랑특별금리 : 0.1%p(금리시장상황에 따라 변동 가능)  - 고향사랑특별금리는 상품 가입고객 모두에게 적용 | join_deny: 1 | join_member: 개인 | max_limit: 500000
kor_co_nm: 농협은행주식회사 | fin_prdt_nm: NH직장인월복리적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: 만기후 3개월 이내 : 만기시점 국고채 1년물 금리 만기후 1년 이내 : 만기시점 채움적금 계약기간별 고시금리의 50% 만기후 1년 초과 : 만기시점 보통예금 금리 | spcl_cnd: 1. 급여입금실적 보유 고객 중  - 가입기간 중 3개월 이상 급여이체시 : 0.3%p  - 주택청약종합저축 또는 펀드가입 : 0.2%p  - NH채움카드 결제실적 1백만원 이상 : 0.2%p 2. 인터넷(스마트)뱅킹 또는 올원뱅크로 가입 : 0.1%p | join_deny: 3 | join_member: 만18세이상 개인 | max_limit: 3000000
